id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,107.5,8.75,,,,osw_substation.yaml,export.yaml
S00T1,OSS1,S00T1,turbine,107.45056551242608,8.679730316349232,0,0,0,SG 14-222 DD.yaml,array.yaml
S00T2,OSS1,S00T2,turbine,107.46468965173291,8.679730316349232,0,1,0,SG 14-222 DD.yaml,array.yaml
S00T3,OSS1,S00T3,turbine,107.47881379103974,8.679730316349232,0,2,0,SG 14-222 DD.yaml,array.yaml
S00T4,OSS1,S00T4,turbine,107.49293793034659,8.679730316349232,0,3,0,SG 14-222 DD.yaml,array.yaml
S00T5,OSS1,S00T5,turbine,107.50706206965341,8.679730316349232,0,4,0,SG 14-222 DD.yaml,array.yaml
S00T6,OSS1,S00T6,turbine,107.52118620896026,8.679730316349232,0,5,0,SG 14-222 DD.yaml,array.yaml
S00T7,OSS1,S00T7,turbine,107.53531034826709,8.679730316349232,0,6,0,SG 14-222 DD.yaml,array.yaml
S00T8,OSS1,S00T8,turbine,107.54943448757392,8.679730316349232,0,7,0,SG 14-222 DD.yaml,array.yaml
S00T9,OSS1,S00T9,turbine,107.45056551242608,8.69980736882088,0,8,0,SG 14-222 DD.yaml,array.yaml
S00T10,OSS1,S00T10,turbine,107.46468965173291,8.69980736882088,0,9,0,SG 14-222 DD.yaml,array.yaml
S00T11,OSS1,S00T11,turbine,107.47881379103974,8.69980736882088,0,10,0,SG 14-222 DD.yaml,array.yaml
S00T12,OSS1,S00T12,turbine,107.49293793034659,8.69980736882088,0,11,0,SG 14-222 DD.yaml,array.yaml
S00T13,OSS1,S00T13,turbine,107.50706206965341,8.69980736882088,0,12,0,SG 14-222 DD.yaml,array.yaml
S00T14,OSS1,S00T14,turbine,107.52118620896026,8.69980736882088,0,13,0,SG 14-222 DD.yaml,array.yaml
S00T15,OSS1,S00T15,turbine,107.53531034826709,8.69980736882088,0,14,0,SG 14-222 DD.yaml,array.yaml
S00T16,OSS1,S00T16,turbine,107.54943448757392,8.69980736882088,0,15,0,SG 14-222 DD.yaml,array.yaml
S00T17,OSS1,S00T17,turbine,107.45056551242608,8.719884421292528,0,16,0,SG 14-222 DD.yaml,array.yaml
S00T18,OSS1,S00T18,turbine,107.46468965173291,8.719884421292528,0,17,0,SG 14-222 DD.yaml,array.yaml
S00T19,OSS1,S00T19,turbine,107.47881379103974,8.719884421292528,0,18,0,SG 14-222 DD.yaml,array.yaml
S00T20,OSS1,S00T20,turbine,107.49293793034659,8.719884421292528,0,19,0,SG 14-222 DD.yaml,array.yaml
S00T21,OSS1,S00T21,turbine,107.50706206965341,8.719884421292528,0,20,0,SG 14-222 DD.yaml,array.yaml
S00T22,OSS1,S00T22,turbine,107.52118620896026,8.719884421292528,0,21,0,SG 14-222 DD.yaml,array.yaml
S00T23,OSS1,S00T23,turbine,107.53531034826709,8.719884421292528,0,22,0,SG 14-222 DD.yaml,array.yaml
S00T24,OSS1,S00T24,turbine,107.54943448757392,8.719884421292528,0,23,0,SG 14-222 DD.yaml,array.yaml
S00T25,OSS1,S00T25,turbine,107.45056551242608,8.739961473764176,0,24,0,SG 14-222 DD.yaml,array.yaml
S00T26,OSS1,S00T26,turbine,107.46468965173291,8.739961473764176,0,25,0,SG 14-222 DD.yaml,array.yaml
S00T27,OSS1,S00T27,turbine,107.47881379103974,8.739961473764176,0,26,0,SG 14-222 DD.yaml,array.yaml
S00T28,OSS1,S00T28,turbine,107.49293793034659,8.739961473764176,0,27,0,SG 14-222 DD.yaml,array.yaml
S00T29,OSS1,S00T29,turbine,107.50706206965341,8.739961473764176,0,28,0,SG 14-222 DD.yaml,array.yaml
S00T30,OSS1,S00T30,turbine,107.52118620896026,8.739961473764176,0,29,0,SG 14-222 DD.yaml,array.yaml
S00T31,OSS1,S00T31,turbine,107.53531034826709,8.739961473764176,0,30,0,SG 14-222 DD.yaml,array.yaml
S00T32,OSS1,S00T32,turbine,107.54943448757392,8.739961473764176,0,31,0,SG 14-222 DD.yaml,array.yaml
S00T33,OSS1,S00T33,turbine,107.45056551242608,8.760038526235824,0,32,0,SG 14-222 DD.yaml,array.yaml
S00T34,OSS1,S00T34,turbine,107.46468965173291,8.760038526235824,0,33,0,SG 14-222 DD.yaml,array.yaml
S00T35,OSS1,S00T35,turbine,107.47881379103974,8.760038526235824,0,34,0,SG 14-222 DD.yaml,array.yaml
S00T36,OSS1,S00T36,turbine,107.49293793034659,8.760038526235824,0,35,0,SG 14-222 DD.yaml,array.yaml
S00T37,OSS1,S00T37,turbine,107.50706206965341,8.760038526235824,0,36,0,SG 14-222 DD.yaml,array.yaml
S00T38,OSS1,S00T38,turbine,107.52118620896026,8.760038526235824,0,37,0,SG 14-222 DD.yaml,array.yaml
S00T39,OSS1,S00T39,turbine,107.53531034826709,8.760038526235824,0,38,0,SG 14-222 DD.yaml,array.yaml
S00T40,OSS1,S00T40,turbine,107.54943448757392,8.760038526235824,0,39,0,SG 14-222 DD.yaml,array.yaml
S00T41,OSS1,S00T41,turbine,107.45056551242608,8.780115578707472,0,40,0,SG 14-222 DD.yaml,array.yaml
S00T42,OSS1,S00T42,turbine,107.46468965173291,8.780115578707472,0,41,0,SG 14-222 DD.yaml,array.yaml
S00T43,OSS1,S00T43,turbine,107.47881379103974,8.780115578707472,0,42,0,SG 14-222 DD.yaml,array.yaml
S00T44,OSS1,S00T44,turbine,107.49293793034659,8.780115578707472,0,43,0,SG 14-222 DD.yaml,array.yaml
S00T45,OSS1,S00T45,turbine,107.50706206965341,8.780115578707472,0,44,0,SG 14-222 DD.yaml,array.yaml
S00T46,OSS1,S00T46,turbine,107.52118620896026,8.780115578707472,0,45,0,SG 14-222 DD.yaml,array.yaml
S00T47,OSS1,S00T47,turbine,107.53531034826709,8.780115578707472,0,46,0,SG 14-222 DD.yaml,array.yaml
S00T48,OSS1,S00T48,turbine,107.54943448757392,8.780115578707472,0,47,0,SG 14-222 DD.yaml,array.yaml
S00T49,OSS1,S00T49,turbine,107.45056551242608,8.80019263117912,0,48,0,SG 14-222 DD.yaml,array.yaml
S00T50,OSS1,S00T50,turbine,107.46468965173291,8.80019263117912,0,49,0,SG 14-222 DD.yaml,array.yaml
S00T51,OSS1,S00T51,turbine,107.47881379103974,8.80019263117912,0,50,0,SG 14-222 DD.yaml,array.yaml
S00T52,OSS1,S00T52,turbine,107.49293793034659,8.80019263117912,0,51,0,SG 14-222 DD.yaml,array.yaml
S00T53,OSS1,S00T53,turbine,107.50706206965341,8.80019263117912,0,52,0,SG 14-222 DD.yaml,array.yaml
S00T54,OSS1,S00T54,turbine,107.52118620896026,8.80019263117912,0,53,0,SG 14-222 DD.yaml,array.yaml
S00T55,OSS1,S00T55,turbine,107.53531034826709,8.80019263117912,0,54,0,SG 14-222 DD.yaml,array.yaml
S00T56,OSS1,S00T56,turbine,107.54943448757392,8.80019263117912,0,55,0,SG 14-222 DD.yaml,array.yaml
S00T57,OSS1,S00T57,turbine,107.45056551242608,8.820269683650768,0,56,0,SG 14-222 DD.yaml,array.yaml
